Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,-172.438574666667,-186.26385425,-197.0186666,-210.615165444444,-222.028381357143,F,,
0.124143838882446,-171.415919,-189.02974325,-200.2601868,-213.947127722222,-225.188682857143,F,,
0.250138998031616,-173.595407666667,-191.4514305,-202.344161,-215.896920222222,-227.1531415,F,,
0.358268976211548,-173.970311,-188.72098575,-199.398298,-212.889291055556,-224.294276071429,F,,
0.466398954391479,-171.946474666667,-185.84235825,-196.6511766,-210.210256388889,-221.645128142857,F,,
0.592553853988647,-170.79648,-185.950026,-197.0269208,-210.652317555556,-222.024341428571,F,,
0.702744960784912,-171.411676333333,-189.02705475,-200.2516678,-213.884780666667,-225.136386285714,F,,
0.812877893447876,-173.58278,-191.44705125,-202.3346416,-215.840510388889,-227.075518428571,F,,
0.921006917953491,-173.950987666667,-188.708627,-199.3929534,-212.856568333333,-224.228103714286,F,,
1.03113889694214,-170.693862333333,-185.9813875,-197.150474,-210.761588722222,-222.091497,F,,
1.17325282096863,-171.343220666667,-189.09085475,-200.4697468,-214.082482888889,-225.259946214286,F,,
1.28138399124146,-173.336255333333,-191.15394925,-202.250199,-215.744957166667,-226.874986571429,F,,
1.39151692390442,-173.470905333333,-188.2508095,-199.1319958,-212.607122944444,-223.888892928571,F,,
1.49964690208435,-171.477796666667,-185.49110475,-196.5391946,-210.091837388889,-221.431329071429,F,,
1.62179279327393,-170.408020666667,-185.642186,-197.1053234,-210.726439944444,-222.015956928571,F,,
1.74799680709839,-173.121160333333,-190.095765,-201.9076162,-215.406587555556,-226.558035714286,F,,
1.87214589118958,-172.949413666667,-187.16922525,-198.5101154,-212.005876888889,-223.301815428571,F,,
1.98227977752686,-171.010046,-185.0380745,-196.366019,-209.945489222222,-221.275547642857,F,,
2.09040880203247,-170.304904666667,-185.74155675,-197.4596356,-211.1480845,-222.405830214286,F,,
2.20050287246704,-171.377719666667,-189.50934675,-202.1671278,-215.999431388889,-227.033544428571,F,,
2.3106369972229,-174.60487,-196.161802,-211.3542974,-225.392781666667,-235.644971428571,F,,
2.42077088356018,-179.055238,-203.18337125,-225.4635034,-239.098825166667,-246.012737357143,F,,
2.52890276908875,-183.215592333333,-205.90305625,-231.8090082,-243.624656166667,-248.434322142857,F,,
2.63102388381958,-186.743068666667,-205.777983,-230.035116,-243.763376111111,-247.774472928571,F,,
2.75111484527588,-188.322585666667,-203.4752285,-229.2393846,-244.614660055556,-248.1721285,F,,
2.85924386978149,-190.065429333333,-204.3927785,-231.0463224,-244.428173666667,-248.871993571429,F,,
