Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,-94.9084686666667,-104.80825775,-111.5011762,-139.207520611111,-151.095841857143,F,,
0.126008033752441,-95.737072,-103.49647725,-111.7473108,-139.696969166667,-152.141237928571,F,,
0.254090070724487,-94.328925,-101.52491,-108.3697084,-137.659411055556,-149.519411428571,F,,
0.378170013427734,-93.364772,-103.78357575,-108.8819136,-137.427086611111,-148.850487714286,F,,
0.488239049911499,-95.153136,-104.750111,-112.06876,-139.611528333333,-151.690091428571,F,,
0.600296020507813,-95.463531,-102.94277525,-111.0309048,-139.313574833333,-151.713922785714,F,,
0.726377010345459,-93.7986143333333,-101.28911675,-107.6931066,-137.183258833333,-148.844281571429,F,,
0.850459098815918,-92.7363996666667,-101.714012,-106.729897,-136.249579277778,-147.4587275,F,,
0.96053409576416,-93.3683743333333,-103.78431875,-108.8822582,-137.429734222222,-148.853313928571,F,,
1.08660316467285,-95.3877373333333,-102.76157075,-110.7581222,-139.162640833333,-151.529148785714,F,,
1.21469306945801,-93.6445433333333,-101.23874475,-107.5016744,-137.0416595,-148.642487071429,F,,
1.33877611160278,-92.6697353333333,-101.841869,-106.792954,-136.262786222222,-147.469937214286,F,,
1.45085406303406,-93.4996726666667,-103.95180375,-109.1558632,-137.606631611111,-149.067263,F,,
1.57690596580505,-95.2752006666667,-104.6891565,-112.1975956,-139.721846888889,-151.861886714286,F,,
1.6889820098877,-93.6182826666666,-101.23154875,-107.4594804,-137.010193388889,-148.594384857143,F,,
1.79905796051025,-92.691457,-102.0308665,-106.8469124,-136.323032722222,-147.498627714286,F,,
1.92714309692383,-93.726217,-105.57102725,-109.6147636,-138.234947777778,-149.451725428571,F,,
2.05323600769043,-96.5856926666667,-110.404095,-115.6261238,-142.900935277778,-153.817058,F,,
2.17732000350952,-98.924106,-110.95551125,-121.209121,-147.475742555556,-155.967294785714,F,,
2.30540800094604,-97.9099586666667,-106.97168075,-119.1245936,-148.292118833333,-151.374349285714,F,,
2.4154851436615,-99.5419503333333,-109.46447325,-121.5291932,-150.724071777778,-153.170604642857,F,,
2.55542898178101,-101.832317,-112.8694905,-124.6980658,-153.361051666667,-156.685687571429,F,,
2.66750717163086,-101.396876333333,-111.409979,-123.256681,-152.249500111111,-156.409690714286,F,,
2.77958416938782,-99.2884593333333,-107.9536995,-119.954673,-149.2647085,-152.881793857143,F,,
2.88965702056885,-98.7860996666667,-107.14055975,-119.2186852,-148.668891722222,-151.418552428571,F,,
3.01373696327209,-105.159325666667,-117.3988395,-129.4911012,-159.152210833333,-159.835883928571,F,,
3.12788605690002,-112.836254333333,-131.30245025,-143.1922232,-171.239278555556,-171.722733285714,F,,
3.23795819282532,-121.546904666667,-158.90749,-171.9297698,-184.655583611111,-193.944968142857,F,,
3.366042137146,-125.517041666667,-158.6759795,-170.808501,-186.379461222222,-197.329740071429,F,,
3.50612998008728,-125.908315333333,-159.1984285,-173.1241674,-189.096109444444,-199.383716357143,F,,
3.63413906097412,-127.661417666667,-162.60331425,-180.9733524,-201.855851166667,-208.337625428571,F,,
3.76221919059753,-127.847661666667,-161.74267875,-181.7528922,-203.642901388889,-210.4536765,F,,
3.88830399513245,-128.659813666667,-162.34851225,-182.5733816,-203.964214222222,-211.011763071429,F,,
3.99837303161621,-129.578597666667,-162.66196275,-182.1201084,-204.147504,-209.819232142857,F,,
4.12436103820801,-130.04986,-162.701229,-182.171176,-203.495099666667,-208.636796571429,F,,
4.25043916702271,-128.109499333333,-161.6905605,-181.7495004,-203.181698777778,-210.496182357143,F,,
4.37652111053467,-128.666085666667,-162.3459555,-182.3907886,-203.734038333333,-210.944611071429,F,,
4.502601146698,-129.548275666667,-162.559074,-182.0276664,-203.881187444444,-209.529269142857,F,,
4.64455914497375,-130.006677333333,-162.841452,-182.0421722,-202.991065666667,-208.573407571429,F,,
4.75663018226624,-128.097493,-161.709443,-181.757504,-202.8889195,-210.516450142857,F,,
4.88271617889404,-128.725159666667,-162.347828,-182.3074676,-203.414015777778,-210.874212928571,F,,
5.00880312919617,-129.587752333333,-162.5041495,-181.9590898,-203.590202222222,-209.399761857143,F,,
5.13692402839661,-129.982650666667,-162.868173,-181.9172452,-202.737189,-208.523481571429,F,,
5.26500916481018,-128.085596666667,-161.72306775,-181.5738754,-202.691350277778,-210.480076285714,F,,
5.39108896255493,-128.806749,-162.344587,-182.0542648,-203.2162895,-210.725080785714,F,,
5.51517105102539,-129.647798333333,-162.43799975,-181.8666354,-203.403513444444,-209.235521928571,F,,
5.64516305923462,-129.945451,-162.918351,-181.8014662,-202.575132722222,-208.5149945,F,,
5.77124619483948,-128.086308666667,-161.75537775,-181.5397328,-202.674813555556,-210.514986142857,F,,
5.88332104682922,-128.867770666667,-162.3676315,-181.9730122,-203.201656944444,-210.667424428571,F,,
6.00940418243408,-129.693665,-162.4104205,-181.847997,-203.4031805,-209.201127857143,F,,
6.11936902999878,-129.934399,-162.962616,-181.7495038,-202.6331355,-208.738696571429,F,,
6.24545097351074,-129.004031,-162.0415645,-181.1507868,-202.630384055556,-210.080989928571,F,,
6.37353110313416,-129.987636666667,-164.037075,-183.3473084,-205.070014222222,-214.709373142857,F,,
6.4996120929718,-132.359295,-164.4954915,-185.4561048,-205.854778777778,-215.009530428571,F,,
6.62769198417664,-134.472046666667,-164.1318185,-184.7750788,-205.417684555556,-215.079750928571,F,,
6.7357611656189,-134.884532333333,-162.3209835,-180.5930886,-205.052620333333,-216.338655928571,F,,
6.86384606361389,-136.393287666667,-159.9608155,-177.0383202,-205.6479555,-217.285694428571,F,,
6.97392010688782,-139.052671666667,-160.120636,-175.9090086,-205.965399055556,-217.501961285714,F,,
7.10002899169922,-140.286593333333,-167.135903,-178.64093,-207.177706666667,-220.291196071429,F,,
7.2421281337738,-141.459625666667,-166.1600695,-177.7198844,-208.3947285,-221.237168857143,F,,
7.35420608520508,-144.295736333333,-163.92295225,-175.823314,-209.068770555556,-220.290843714286,F,,
7.48029208183289,-145.546267,-163.08391925,-175.833342,-208.930918666667,-218.656667285714,F,,
7.60647010803223,-142.405598,-167.69194675,-178.6016332,-209.048151888889,-220.2363975,F,,
7.73455214500427,-143.393185333333,-166.1860545,-177.6124648,-209.5117415,-221.376005071429,F,,
7.86063313484192,-146.197975666667,-163.86679075,-175.7931208,-209.955179,-220.528054571429,F,,
7.97070002555847,-146.604437666667,-163.153568,-175.9555092,-209.9823065,-218.933041071429,F,,
8.0966591835022,-144.02133,-165.0301755,-177.7340504,-209.900026333333,-219.141969857143,F,,
8.22274112701416,-143.817373,-165.80997775,-177.2997018,-210.737746166667,-221.670804357143,F,,
8.34882616996765,-146.654901666667,-163.6182395,-175.6770872,-210.799239222222,-220.425589857143,F,,
8.47490906715393,-146.192009333333,-163.2953825,-176.2591232,-210.468877222222,-218.951099714286,F,,
8.60106205940247,-143.696461333333,-165.58073925,-178.1048806,-210.352723555556,-219.522486357143,F,,
8.71113204956055,-142.501586,-167.8128035,-178.7688584,-210.904899388889,-221.168721071429,F,,
8.83721017837524,-146.965959333333,-163.48763775,-175.7206804,-211.708593333333,-220.4351695,F,,
8.94527697563171,-145.800891666667,-163.51127925,-176.6897748,-210.995376722222,-219.040438428571,F,,
9.07126498222351,-143.434173,-166.11033875,-178.4287362,-210.690567388889,-219.783080285714,F,,
9.19934701919556,-142.519225666667,-167.746282,-178.7824224,-211.170394888889,-221.418971714286,F,,
9.32542514801025,-144.192648666667,-165.550019,-177.1374794,-211.781190722222,-222.054767428571,F,,
9.45150399208069,-145.41156,-163.73988625,-177.0351722,-210.992607944445,-219.053708285714,F,,
9.59570503234863,-143.197115333333,-166.63308675,-178.6041248,-210.772575111111,-220.042634428571,F,,
9.70777797698975,-142.602212333333,-167.689627,-178.7281264,-211.341977944444,-221.70686,F,,
9.83585596084595,-144.620698666667,-165.37629725,-176.939203,-211.9806235,-222.033272357143,F,,
9.94592714309692,-147.260962333333,-163.5393415,-175.9023278,-212.080820277778,-220.218875571429,F,,
10.0698530673981,-143.481312333333,-168.427526,-180.3967708,-212.231493944444,-221.601581142857,F,,
10.1819250583649,-143.921550333333,-176.400216,-185.9686626,-214.710026666667,-226.872975785714,F,,
10.2919950485229,-147.076504666667,-183.712412,-197.3516142,-218.695355722222,-233.9178545,F,,
10.418074131012,-153.368409,-189.18140775,-208.410045,-223.778255444444,-239.639524571429,F,,
10.5301420688629,-160.368677666667,-196.1059455,-208.8844408,-227.820684055556,-239.554967571429,F,,
10.6563091278076,-165.72881,-196.2626085,-211.066584,-230.491642833333,-240.224217142857,F,,
10.7823879718781,-181.707856666667,-208.99266725,-227.7616304,-241.907820944444,-248.333603,F,,
10.9104690551758,-189.942382666667,-219.0171205,-237.4087006,-245.411112277778,-250.962999142857,F,,
11.0185370445251,-190.145097333333,-224.368657,-239.4147946,-245.918739888889,-251.023742714286,F,,
11.1485860347748,-192.945252666667,-225.58695675,-240.890329,-246.785784111111,-250.819533214286,F,,
11.2766661643982,-195.757004666667,-227.83376125,-242.4741892,-247.366974055556,-250.869914642857,F,,
11.4027459621429,-199.540450333333,-230.44183575,-240.8045902,-246.465154888889,-250.2914895,F,,
11.5188210010529,-201.295677333333,-228.89144975,-240.9724402,-246.538485,-250.27699,F,,
11.6248841285706,-202.441104666667,-228.7661165,-242.1734226,-247.275349833333,-250.4172235,F,,
11.7669730186462,-204.193985,-230.499099,-243.125632,-247.487505222222,-250.532961642857,F,,
11.8770451545715,-205.859324333333,-231.92825925,-242.0582538,-246.858587555556,-250.325355357143,F,,
12.0031220912933,-206.581312333333,-230.7212905,-240.7069138,-246.158651611111,-250.109167357143,F,,
12.1451301574707,-206.688842,-229.475901,-242.3958786,-246.913736833333,-249.997257,F,,
12.2872200012207,-207.486188,-230.5819295,-242.843538,-246.648400944444,-249.677827357143,F,,
12.397292137146,-207.473972333333,-230.1158925,-241.1287454,-246.048960722222,-249.116036928571,F,,
12.5193710327148,-206.56494,-228.3602705,-240.3631508,-245.999100055556,-248.992069285714,F,,
12.6355509757996,-205.960922666667,-227.3880855,-241.0250246,-246.727061944444,-249.320882928571,F,,
12.7596271038055,-207.843397,-228.98933575,-243.6213754,-247.378280166667,-250.020387857143,F,,
12.8877100944519,-208.103406666667,-229.19463975,-242.3084836,-246.786310388889,-249.535615714286,F,,
12.9977850914001,-207.695328,-228.4823495,-241.2914496,-246.592202944444,-249.416655214286,F,,
13.1098761558533,-207.577453,-226.6195205,-240.0240224,-246.859473833333,-249.741439142857,F,,
13.2359600067139,-208.071270666667,-224.300759,-238.1875974,-247.007832833333,-250.385274928571,F,,
13.3600430488586,-207.934311333333,-223.03272075,-236.6139682,-246.852277833333,-250.935134642857,F,,
13.4861290454865,-208.699965333333,-225.22547075,-237.5763234,-247.814627555556,-250.191249428571,F,,
13.6122200489044,-210.102790666667,-223.95839325,-236.7069278,-248.418461277778,-250.247917785714,F,,
13.7383060455322,-209.565362333333,-220.22341825,-233.9800632,-247.814470611111,-250.915136714286,F,,
13.8623900413513,-207.551700666667,-218.37829475,-232.1113474,-246.945986611111,-251.744195,F,,
13.9864730834961,-206.410500333333,-218.791152,-232.3747058,-247.083163055556,-252.184060714286,F,,
14.1106481552124,-208.160756333333,-222.00235775,-235.788251,-249.292761666667,-252.713252714286,F,,
14.2367310523987,-207.775721666667,-219.53066075,-234.2532034,-248.791111222222,-253.033032857143,F,,
14.3628151416779,-206.744217333333,-218.68896275,-233.5098364,-248.559209055556,-253.887087928571,F,,
14.4889001846313,-206.705053,-220.32388075,-235.0908598,-249.407771,-255.126602071429,F,,
14.6169559955597,-210.230915666667,-223.4164285,-237.3938166,-251.719723388889,-256.452119928571,F,,
14.7430381774902,-208.317000333333,-219.93843525,-234.6387792,-250.600436166667,-256.408257857143,F,,
14.8691220283508,-206.474627,-218.802776,-233.6095666,-249.908990388889,-256.548016071429,F,,
14.9932010173798,-206.484339666667,-220.4442065,-235.2423606,-250.532578944444,-257.009312714286,F,,
15.1053531169891,-208.558666666667,-224.082562,-237.9768736,-251.898941388889,-257.358802071429,F,,
15.2314360141754,-208.138595,-219.53234675,-234.3950814,-250.671508055556,-257.110102428571,F,,
15.3555161952972,-206.411559,-218.7368485,-233.7653194,-250.246465055556,-257.136050857143,F,,
15.4835979938507,-206.677701333333,-220.68797625,-235.8038476,-251.366268777778,-257.449184785714,F,,
15.6097149848938,-208.861540333333,-224.127721,-238.4816398,-253.174443666667,-257.82026,F,,
15.7357959747314,-208.123268666667,-219.67472025,-234.4805758,-251.780646166667,-259.325690071429,F,,
15.861878156662,-206.335337666667,-219.18744975,-233.8290812,-251.073119222222,-260.439140214286,F,,
15.9879641532898,-206.517277666667,-221.47047525,-235.831439,-251.851469777778,-261.104105142857,F,,
16.1001360416412,-208.431835666667,-225.05060025,-238.2978822,-253.343157111111,-260.8743665,F,,
16.2102069854736,-209.378164,-223.23284475,-236.9793534,-253.536941055556,-260.540176285714,F,,
16.33828997612,-206.095134,-219.70957475,-233.7729654,-252.065237055556,-261.247742071428,F,,
16.4643709659576,-206.556441,-222.1993235,-236.0930924,-252.948858277778,-261.400767714286,F,,
16.5744550228119,-208.813988333333,-227.13874025,-240.0459698,-254.421085277778,-261.023543642857,F,,
16.6865291595459,-210.872414666667,-227.992248,-241.2060044,-255.313900722222,-260.866071571429,F,,
16.8266229629517,-209.319138666667,-225.13399075,-239.2871108,-255.264250111111,-261.430255285714,F,,
16.9386961460114,-207.612504,-224.1989035,-238.6885956,-255.459658333333,-263.036289285714,F,,
17.080924987793,-210.913396666667,-233.04991925,-244.8956248,-257.121510666667,-265.838214357143,F,,
17.2050070762634,-213.697524666667,-238.1903845,-247.8908478,-257.599712888889,-264.935457714286,F,,
17.3471040725708,-214.554300333333,-240.20042175,-249.8667322,-257.767975777778,-264.498794285714,F,,
17.4571740627289,-214.128532333333,-241.20268875,-250.8333632,-258.106332444444,-265.228478285714,F,,
17.583160161972,-216.889375666667,-241.19013225,-249.9513598,-258.624885166667,-267.240993785714,F,,
17.711245059967,-218.311461333333,-240.567084,-249.8735572,-258.778705611111,-267.401340428571,F,,
17.8373301029205,-219.62314,-240.40549175,-249.6428106,-258.885136111111,-266.969935714286,F,,
17.9634120464325,-220.634224666667,-240.4421615,-249.079154,-258.891561444444,-267.0394295,F,,
18.0754890441895,-221.641844666667,-240.0718225,-248.6169658,-258.557800277778,-267.155239285714,F,,
18.2015709877014,-223.151062666667,-239.24465875,-249.3923282,-258.423421722222,-266.887941571429,F,,
18.3436629772186,-224.913128666667,-239.83518,-249.1292518,-258.455607333333,-266.757459285714,F,,
18.4557321071625,-224.688593333333,-240.63139625,-248.2629454,-258.336557666667,-267.2262475,F,,
18.5957679748535,-223.510163333333,-240.34320075,-247.478746,-258.057921444444,-267.795134142857,F,,
18.707836151123,-221.965798666667,-239.97337625,-247.2692564,-258.071342666667,-266.833808142857,F,,
18.8159070014954,-221.094771666667,-241.0856125,-247.4445586,-257.980037666667,-266.350165642857,F,,
18.9580001831055,-218.906501,-241.08131375,-246.7994228,-257.813520666667,-266.463148571429,F,,
19.0841369628906,-217.327197,-238.649693,-245.5848424,-257.564557777778,-267.063747285714,F,,
19.2102181911469,-218.124191333333,-236.824388,-245.5578642,-257.958399111111,-267.291460714286,F,,
19.3382999897003,-219.262128666667,-238.653254,-247.1172934,-258.151031888889,-266.752499571429,F,,
19.4643800258636,-219.12697,-240.303963,-247.9850542,-258.233217944445,-266.488468714286,F,,
19.5903849601746,-218.104513333333,-239.2330835,-247.012796,-258.123262055556,-266.823171071429,F,,
19.7024619579315,-217.922536,-237.48562875,-245.8327132,-258.055637388889,-267.237213285714,F,,
19.8125340938568,-219.508751,-238.8586095,-247.1013754,-258.325039333333,-267.085413142857,F,,
19.9246060848236,-218.749999333333,-240.03692525,-247.3877772,-258.486639055556,-266.886791214286,F,,
20.0246691703796,-217.663788,-239.1456355,-245.7947116,-258.564706611111,-267.17817,F,,
20.1467690467834,-217.177602,-237.52474525,-244.0604012,-258.549119611111,-267.551937571429,F,,
20.2588450908661,-217.572211333333,-236.997941,-243.6412862,-258.1038135,-267.568983,F,,
20.3849220275879,-218.122902,-236.8934355,-244.3594332,-257.747708555556,-267.4613535,F,,
20.5090019702911,-217.673949666667,-236.18343975,-244.1961906,-257.9449165,-267.243500285714,F,,
