Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,0,0,0,0,0,F,,
0.110130071640015,0,0,0,0,0,F,,
0.218256950378418,0,0,0,0,0,F,,
0.32638692855835,0,0,0,0,0,F,,
0.434653997421265,0,0,0,0,0,F,,
0.546787023544312,0,0,0,0,0,F,,
0.652913093566895,0,0,0,0,0,F,,
0.765044927597046,0,0,0,0,0,F,,
0.877177000045776,0,0,0,0,0,F,,
1.00126791000366,0,0,0,0,0,F,,
1.12540698051453,0,0,0,0,0,F,,
1.23553395271301,0,0,0,0,0,F,,
1.36167907714844,0,0,0,0,0,F,,
1.47167897224426,0,0,0,0,0,F,,
1.58180904388428,0,0,0,0,0,F,,
1.6939389705658,0,0,0,0,0,F,,
1.80206799507141,0,0,0,0,0,F,,
1.91420102119446,0,0,0,0,0,F,,
2.03834104537964,0,0,0,0,0,F,,
2.14847087860107,0,0,0,0,0,F,,
2.2606029510498,0,0,0,0,0,F,,
2.36873197555542,0,0,0,0,0,F,,
2.47892999649048,0,0,0,0,0,F,,
2.59106302261353,0,0,0,0,0,F,,
2.70118808746338,0,0,0,0,0,F,,
2.80931305885315,0,0,0,0,0,F,,
2.91944193840027,0,0,0,0,0,F,,
3.04547905921936,0,0,0,0,0,F,,
3.17162609100342,0,0,0,0,0,F,,
3.27775192260742,0,0,0,0,0,F,,
3.38788199424744,0,0,0,0,0,F,,
3.51394891738892,0,0,0,0,0,F,,
3.62407898902893,0,0,0,0,0,F,,
3.73421597480774,0,0,0,0,0,F,,
3.84434509277344,0,0,0,0,0,F,,
3.97049903869629,0,0,0,0,0,F,,
4.08263397216797,0,0,0,0,0,F,,
4.20478296279907,0,0,0,0,0,F,,
4.33294010162354,0,0,0,0,0,F,,
4.44502997398376,0,0,0,0,0,F,,
4.55517101287842,0,0,0,0,0,F,,
4.6652979850769,0,0,0,0,0,F,,
4.77543306350708,0,0,0,0,0,F,,
4.90358805656433,0,0,0,0,0,F,,
5.01166701316834,0,0,0,0,0,F,,
