Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,-772.376631666667,-772.06160175,-775.9918216,-764.493095,-764.479355571429,F,,
0.108089923858643,-771.781061,-772.13231775,-775.2563518,-767.654289222222,-768.386878928571,F,,
0.232197999954224,-768.155929,-776.2989615,-775.7851816,-765.156676944444,-764.612562142857,F,,
0.358383893966675,-770.130613,-774.519199,-776.2624356,-763.425153611111,-763.0135335,F,,
0.468478918075562,-772.508678666667,-771.95446425,-775.9131018,-764.701472888889,-764.7316315,F,,
0.592583894729614,-771.456436,-772.2659405,-775.235084,-767.878539777778,-768.6763325,F,,
0.716685056686401,-768.787795666667,-774.6124435,-775.3991084,-768.210214666667,-768.527217285714,F,,
0.826813936233521,-768.155929,-776.2989615,-775.7851816,-765.156676944444,-764.612562142857,F,,
0.934904098510742,-772.538059333333,-771.930699,-775.893276,-764.755980333333,-764.797454785714,F,,
1.07701897621155,-771.361777,-772.30177725,-775.2306712,-767.931535777778,-768.744499928571,F,,
1.18711090087891,-768.751936,-774.6578305,-775.4070742,-768.166164055556,-768.454154571428,F,,
1.31123089790344,-768.168278666667,-776.3144295,-775.793066,-765.097753333333,-764.550077357143,F,,
1.41932392120361,-769.858652333333,-774.44833825,-776.2725964,-763.420412944444,-763.015280142857,F,,
1.55944609642029,-770.620988,-772.7961815,-775.2072252,-768.448625277778,-769.384633857143,F,,
1.6695408821106,-768.392139666667,-775.16493275,-775.5033766,-767.533000944445,-767.4933755,F,,
1.77762889862061,-768.392596666667,-776.35399825,-775.891728,-764.453301833333,-763.890409857143,F,,
1.90571093559265,-770.842948666667,-773.64795475,-776.3839448,-763.465386,-763.148165285714,F,,
2.01379990577698,-773.386426333333,-771.8823575,-776.1153358,-765.682237666667,-765.897146571428,F,,
2.13990998268127,-773.413096,-773.58415225,-776.9308062,-771.273267888889,-772.58242,F,,
2.26401710510254,-773.643974666667,-786.60311025,-785.9314208,-784.131352277778,-774.835181,F,,
2.374027967453,-779.612203,-791.58612875,-791.2907802,-786.114093333333,-774.556607214286,F,,
2.49813389778137,-785.202778,-793.80116575,-794.4696002,-789.652278166667,-778.008166357143,F,,
2.62224102020264,-795.280767,-800.7591825,-798.3670406,-796.625696055556,-785.912358285715,F,,
2.74634695053101,-809.870787,-814.55444175,-806.2765172,-808.034492611111,-801.503932214286,F,,
2.87034392356873,-831.971288333333,-839.3753255,-835.1311504,-835.238695555556,-847.132718642857,F,,
2.99444794654846,-860.163903333333,-872.15906075,-871.8144176,-875.932134833333,-902.765409857143,F,,
