Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,-129.250134666667,-145.35093975,-162.231127,-177.024028277778,-188.087393285714,F,,1
0.121958017349243,-129.016069666667,-147.32635525,-163.853348,-178.862877611111,-190.171808142857,F,,
0.248071908950806,-130.50492,-146.483283,-161.033503,-175.21362,-186.973055,F,,
0.358171939849854,-128.370959,-143.00561325,-157.519402,-171.535419666667,-183.093054142857,F,,
0.482284069061279,-127.243128,-142.423372,-156.9950918,-171.128492722222,-182.630504142857,F,,
0.592387914657593,-127.473658333333,-144.950875,-159.6117434,-173.886311722222,-185.500520071429,F,,
0.716501951217651,-129.691265,-148.27858825,-162.6541076,-177.417193944444,-189.351087071429,F,,
0.824598073959351,-130.033950333333,-146.2766565,-160.771672,-174.901141555556,-186.669100928571,F,,
0.948709964752197,-128.032656333333,-143.00254275,-157.5168954,-171.519682444444,-183.076670214286,F,,
1.05880808830261,-127.519528333333,-145.3392175,-159.987031,-174.287364555556,-185.912315,F,,
1.18290400505066,-129.833543333333,-148.36779425,-162.7254094,-177.475760111111,-189.405101214286,F,,
1.29500603675842,-129.832442,-145.88892925,-160.3954266,-174.473362777778,-186.1965545,F,,
1.41911888122559,-127.821857333333,-142.80380525,-157.3180656,-171.329664833333,-182.863823714286,F,,
1.54523587226868,-127.013740666667,-142.5430265,-157.1326636,-171.254961944444,-182.7456735,F,,
1.67137289047241,-130.053649,-148.37034425,-162.7193916,-177.422673388889,-189.347615857143,F,,
1.79348206520081,-129.618763333333,-145.42554125,-159.9407606,-173.970909388889,-185.658100714286,F,,
1.90558195114136,-127.599198666667,-142.6042015,-157.121439,-171.1441965,-182.664119214286,F,,
2.02968907356262,-126.971724333333,-142.72762675,-157.33925,-171.464246555556,-182.957855,F,,
2.15779685974121,-127.738162333333,-145.81839275,-160.443079,-174.788294333333,-186.423693857143,F,,
2.26789903640747,-130.054027666667,-148.3706385,-162.7193892,-177.422495222222,-189.335910642857,F,,
2.39201092720032,-127.267125666667,-142.3707995,-156.8955946,-170.9436135,-182.442607714286,F,,
2.51612591743469,-126.947488,-143.135066,-157.7752278,-171.916757888889,-183.419846785714,F,,
2.64408802986145,-128.168217666667,-146.61762025,-161.1839792,-175.636303388889,-187.32773,F,,
2.76619791984558,-130.290849333333,-148.13220625,-162.4912022,-177.067356222222,-188.960484142857,F,,
2.89230608940125,-129.225303333333,-144.68693825,-159.205882,-173.193172611111,-184.826816142857,F,,
3.0023980140686,-127.140429666667,-143.40795675,-158.0574392,-172.2043655,-183.711751714286,F,,
3.13053107261658,-129.130989333333,-147.912293,-162.1400984,-176.671719833333,-188.453266285714,F,,
3.25463485717773,-134.017837,-153.9197515,-165.8226678,-180.816378111111,-193.349754142857,F,,
3.39875793457031,-136.803337666667,-153.809778,-164.7941874,-178.093365055556,-190.226867214286,F,,
3.5068519115448,-141.663480666667,-154.5072655,-165.4941942,-178.787874222222,-190.632267571429,F,,
3.63509202003479,-145.135435333333,-160.0149705,-171.4660508,-184.776841888889,-196.4859675,F,,
