Timestamp,delta,theta,alpha,beta,gamma,Event,EventDate,EventDuration
0,-183.201604,-206.9894585,-231.3050716,-232.312300611111,-234.608171071429,F,,
0.124103784561157,-182.754045,-202.163149,-216.0763476,-224.947565555556,-231.290159785714,F,,
0.248203992843628,-168.800161,-180.7079615,-191.7557466,-204.597226888889,-215.698880642857,F,,
0.374305963516235,-164.054511333333,-177.15089025,-188.2492398,-201.254788444444,-212.549071,F,,1
0.514468908309937,-161.74008,-177.03308925,-188.290828,-201.358351611111,-212.642254642857,F,,
0.654583930969238,-164.089147333333,-182.47672725,-193.8124974,-206.841440277778,-218.051967142857,F,,
0.778688907623291,-164.293120666667,-179.8679135,-191.0099656,-204.080606444444,-215.646742857143,F,,
0.886777877807617,-162.292694666667,-177.04713325,-188.1724948,-201.328861888889,-213.055150285714,F,,
0.994968891143799,-161.238102,-177.14212175,-188.4188906,-201.636954888889,-213.381797928571,F,,
1.12307286262512,-161.857303333333,-180.139048,-191.5693624,-204.813109388889,-216.514504428571,F,,
1.22916197776794,-163.936429666667,-182.521656,-193.834052,-206.995400333333,-218.6867215,F,,
1.35526084899902,-164.236807333333,-179.9160115,-191.0220638,-204.133979944444,-215.898721857143,F,,
1.4654598236084,-161.345077333333,-177.36322725,-188.633167,-201.854904777778,-213.623393428571,F,,
1.57354497909546,-162.20207,-180.538403,-191.958861,-205.196616111111,-216.921833142857,F,,
1.6836359500885,-164.306333,-182.4819435,-193.7580152,-206.913464,-218.647081642857,F,,
1.79172492027283,-164.248832333333,-179.554472,-190.6476674,-203.771016166667,-215.563848928571,F,,
1.89380788803101,-162.227744666667,-176.94957275,-188.056552,-201.2322945,-213.038946785714,F,,
2.00986480712891,-161.364621333333,-177.36597675,-188.6329704,-201.8666775,-213.655157071429,F,,
2.13596677780151,-162.215331666667,-180.562103,-191.9603988,-205.218114222222,-216.9772385,F,,
2.24605584144592,-164.341291,-182.59054125,-193.768413,-206.960466277778,-218.735403714286,F,,
2.35414290428162,-164.340830333333,-179.71079425,-190.6631894,-203.830955,-215.651682214286,F,,
2.46423387527466,-162.386465333333,-177.11257225,-188.0723198,-201.296595555556,-213.127051071429,F,,
2.59233689308167,-163.080384333333,-181.70645525,-192.897017,-206.211406944444,-218.018772214286,F,,
2.70042586326599,-165.097551333333,-182.3348395,-193.2845394,-206.501685777778,-218.329016714286,F,,
2.82853078842163,-164.186167333333,-178.87658175,-189.754257,-202.946335388889,-214.7848865,F,,
2.9385449886322,-162.101547333333,-176.92710525,-187.9082832,-201.148263111111,-212.980733357143,F,,
3.04663300514221,-161.718145333333,-178.196369,-189.3295128,-202.639214,-214.457240857143,F,,
3.17073178291321,-163.144734333333,-181.7162,-192.9040626,-206.2176795,-218.030399285714,F,,
3.29483199119568,-164.221678,-178.828516,-189.6928404,-202.885513833333,-214.728210642857,F,,
3.39491081237793,-162.132405333333,-176.9391915,-187.9075706,-201.148231833333,-212.982485214286,F,,
3.51513981819153,-161.962471,-178.33012475,-189.4736132,-202.786878444444,-214.605380857143,F,,
3.63723993301392,-163.977837333333,-183.47919375,-194.8796768,-208.271219055556,-220.067843285714,F,,
3.74933385848999,-168.994507666667,-193.731305,-205.6145382,-219.127253944444,-230.877468214286,F,,
3.87744188308716,-177.619415666667,-212.78656675,-226.6841044,-240.421448444444,-251.926579214286,F,,
3.98761200904846,-187.175152,-232.437037,-255.2692756,-264.727345111111,-273.931946142857,F,,
4.09970378875732,-185.115616333333,-202.74700975,-224.67522,-252.240450666667,-272.818840285714,F,,
4.2258129119873,-168.601049,-183.2410015,-205.429991,-235.244720611111,-259.705093071429,F,,
4.34991478919983,-158.453197666667,-173.32725225,-195.382054,-222.981920444444,-248.688102928571,F,,
4.45791292190552,-152.978120666667,-168.5202525,-190.38766,-215.399869166667,-242.486464357143,F,,
4.56600594520569,-150.141012666667,-167.37212,-189.0911374,-211.844088277778,-240.088497714286,F,,
4.67409491539001,-149.871139666667,-169.4037605,-190.8258516,-210.987786277778,-240.752482785714,F,,
4.80220198631287,-151.518387333333,-171.0237155,-191.3058284,-213.949232666667,-242.653944357143,F,,
4.92823600769043,-149.450869666667,-168.0426385,-189.169405,-213.042550833333,-240.975185071429,F,,
5.03832483291626,-148.207279,-167.2661245,-188.738139,-211.386096611111,-239.684934428571,F,,
5.1464159488678,-149.228047666667,-169.45089875,-190.8221536,-210.970731,-240.639364071429,F,,
5.25650787353516,-151.299195333333,-172.43160575,-192.55068,-212.426310777778,-242.320600142857,F,,
5.36860299110413,-151.317035,-171.022316,-191.3043882,-213.951341722222,-242.591804571429,F,,
5.47663187980652,-149.311395,-168.041339,-189.1667412,-213.041607666667,-240.820541571429,F,,
5.5847179889679,-148.137696,-167.2644295,-188.7337072,-211.374028222222,-239.316947642857,F,,
5.69480895996094,-149.181146333333,-169.4468225,-190.808339,-210.925708277778,-239.916354714286,F,,
5.80289578437805,-151.248106666667,-172.37837575,-192.528395,-212.179171888889,-240.540835071429,F,,
5.93281483650208,-148.414617666667,-167.12446675,-188.5647936,-211.256525555556,-233.704325142857,F,,
6.05891680717468,-147.165771,-166.87690925,-188.3108134,-209.093310944444,-230.027798857143,F,,
6.16700100898743,-139.404814333333,-160.113321,-187.8836776,-204.964944833333,-226.149123142857,F,,
6.27709078788757,-126.723685,-146.28096475,-178.152495,-193.856916722222,-215.614010357143,F,,
6.39718985557556,-118.180712,-136.5713715,-167.8651438,-184.112575944444,-204.176016214286,F,,
6.4971489906311,-113.568551666667,-130.833892,-161.6351862,-178.244012388889,-198.151277285714,F,,
6.60723495483398,-110.106500666667,-128.2420605,-156.2026622,-175.881850333333,-196.163722928571,F,,
6.71931982040405,-109.080748333333,-129.06829325,-147.2366258,-176.624544055556,-196.667350142857,F,,
6.8294038772583,-106.030273,-126.347126,-143.5545534,-170.549241611111,-190.570846928571,F,,
6.95748281478882,-95.355735,-111.192621,-139.007965,-157.012229111111,-177.756173785714,F,,
7.08558392524719,-94.5574493333333,-109.9023135,-139.123286,-155.823317611111,-176.664498428571,F,,
7.19566893577576,-95.775181,-111.82394475,-139.2000266,-157.309479166667,-178.443805857143,F,,
7.30375790596008,-97.094383,-114.77357425,-139.1602084,-159.6926535,-180.791035357143,F,,
7.44588279724121,-95.971644,-113.9105005,-137.9972228,-158.953968055556,-179.711233714286,F,,
7.55596780776978,-94.2783866666667,-110.68351025,-137.4460896,-156.276963222222,-176.999551428571,F,,
7.68207287788391,-95.8333276666667,-112.205493,-138.4143916,-157.541883444444,-178.773394,F,,
7.79015684127808,-96.942846,-114.778192,-138.6308618,-159.734204888889,-180.7052975,F,,
7.90224885940552,-95.449912,-113.0841715,-137.6707236,-158.293489111111,-179.014581642857,F,,
8.03048300743103,-94.046451,-110.13620625,-137.540145,-155.821691666667,-176.550919,F,,
8.15658187866211,-94.20845,-109.71395225,-137.8344828,-155.444522277778,-176.390112928571,F,,
8.26466798782349,-95.8162016666667,-112.20853425,-138.4134012,-157.535719111111,-178.75431,F,,
8.37675786018372,-96.922798,-114.7615965,-138.6122012,-159.698599944444,-180.660074142857,F,,
8.48469591140747,-93.9363963333333,-109.974446,-137.410484,-155.709131388889,-176.452861571429,F,,
8.5967857837677,-93.9200926666667,-109.18543175,-137.5184796,-155.258765944444,-176.226148642857,F,,
