Timestamp,attention,relaxation,asymmetry,leftActivity,rightActivity,Event,EventDate,EventDuration
0,0,0,0,0,0,F,,
0.110095977783203,0,0,0,0,0,F,,
0.234225034713745,0,0,0,0,0,F,,
0.344322919845581,0,0,0,0,0,F,,
0.452417850494385,0,0,0,0,0,F,,
0.562515020370483,0,0,0,0,0,F,,
0.66460394859314,0,0,0,0,0,F,,
0.782793998718262,0,0,0,0,0,F,,
0.890887975692749,0,0,0,0,0,F,,
0.998981952667236,0,0,0,0,0,F,,
1.10707592964172,0,0,0,0,0,F,,
1.23124289512634,0,0,0,0,0,F,,
1.33733487129211,0,0,0,0,0,F,,
1.46344494819641,0,0,0,0,0,F,,
1.5875518321991,0,0,0,0,0,F,,
1.69579601287842,0,0,0,0,0,F,,
1.80388998985291,0,0,0,0,0,F,,
1.92799997329712,0,0,0,0,0,F,,
2.05210900306702,0,0,0,0,0,F,,
2.16621088981628,0,0,0,0,0,F,,
2.28633189201355,0,0,0,0,0,F,,
2.39442682266235,0,0,0,0,0,F,,
2.50251984596252,0,0,0,0,0,F,,
2.60861587524414,0,0,0,0,0,F,,
2.73468494415283,0,0,0,0,0,F,,
2.85879683494568,0,0,0,0,0,F,,
2.96689581871033,0,0,0,0,0,F,,
3.07499003410339,0,0,0,0,0,F,,
3.20112586021423,0,0,0,0,0,F,,
3.31122303009033,0,0,0,0,0,F,,
3.41931986808777,0,0,0,0,0,F,,
3.52941584587097,0,0,0,0,0,F,,
3.63951301574707,0,0,0,0,0,F,,
3.74968194961548,0,0,0,0,0,F,,
3.85777497291565,0,0,0,0,0,F,,
3.96586585044861,0,0,0,0,0,F,,
4.07595992088318,0,0,0,0,0,F,,
4.21601891517639,0,0,0,0,0,F,,
4.32611393928528,0,0,0,0,0,F,,
4.45022296905518,0,0,0,0,0,F,,
4.55831789970398,0,0,0,0,0,F,,
4.66841101646423,0,0,0,0,0,F,,
4.77652192115784,0,0,0,0,0,F,,
4.88661694526672,0,0,0,0,0,F,,
4.99670886993408,0,0,0,0,0,F,,
5.10480093955994,0,0,0,0,0,F,,
5.23094201087952,0,0,0,0,0,F,,
5.34103894233704,0,0,0,0,0,F,,
5.44913291931152,0,0,0,0,0,F,,
5.55922698974609,0,0,0,0,0,F,,
5.66732096672058,0,0,0,0,0,F,,
5.77531886100769,0,0,0,0,0,F,,
5.88541102409363,0,0,0,0,0,F,,
5.99350595474243,0,0,0,0,0,F,,
6.10360097885132,0,0,0,0,0,F,,
6.21369981765747,0,0,0,0,0,F,,
6.33780884742737,0,0,0,0,0,F,,
6.44590091705322,0,0,0,0,0,F,,
6.55599999427795,0,0,0,0,0,F,,
6.66609692573547,0,0,0,0,0,F,,
6.77403497695923,0,0,0,0,0,F,,
6.88413405418396,0,0,0,0,0,2,,

